Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,237.0859709824565,237.9445943561458,236.69649066778442,237.9091796875,237.9091796875,86655700
2018-01-03,238.07732904047535,239.56444774700554,238.07732904047535,239.41395568847656,239.41395568847656,90070400
2018-01-04,240.06016615617438,240.90992905381995,239.47594572233194,240.42306518554688,240.42306518554688,80636400
2018-01-05,241.21967766611206,242.14910303727956,240.72398053302703,242.0251922607422,242.0251922607422,83524000
2018-01-08,241.927862146671,242.62715994059667,241.63576545544691,242.46783447265625,242.46783447265625,57319200
2018-01-09,242.89264851381964,243.64505463017585,242.60938529132613,243.01658630371094,243.01658630371094,57254000
2018-01-10,242.25538665825965,242.9104364178229,241.58267008593077,242.64486694335938,242.64486694335938,69574300
2018-01-11,243.2025332397573,244.41522216796875,243.03434734322684,244.41522216796875,244.41522216796875,62361500
2018-01-12,244.6807483069395,246.17667325756935,244.37976421968455,246.00851440429688,246.00851440429688,90816100
2018-01-16,247.27435999894735,247.92938275753912,244.46833521138885,245.16763305664062,245.16763305664062,106555100
2018-01-17,246.10590224407747,247.8939510910203,245.16761624371924,247.5044708251953,247.5044708251953,113258800
2018-01-18,247.38936647022337,247.81423429409057,246.59268527353646,247.08840942382812,247.08840942382812,100728000
2018-01-19,247.67273502022013,248.21270751953125,247.0885414502515,248.21270751953125,248.21270751953125,140920100
2018-01-22,248.00025782938982,250.23089599609375,247.9471223129029,250.23089599609375,250.23089599609375,91322400
2018-01-23,250.27506855775837,251.05402905144194,249.94755721688517,250.76193237304688,250.76193237304688,97084700
2018-01-24,251.40805070616526,252.00999180922344,249.47837064711314,250.6645050048828,250.6645050048828,134816100
2018-01-25,251.53197266500496,251.62932919684,249.97405204791582,250.7707061767578,250.7707061767578,84587300
2018-01-26,251.6116817967824,253.71840837989234,251.35497278104543,253.67413330078125,253.67413330078125,107743100
2018-01-29,253.09887333573428,253.54146222080925,251.8330756076555,251.99240112304688,251.99240112304688,90118300
2018-01-30,250.1511079389796,252.04537329547156,248.92955895475808,249.40756225585938,249.40756225585938,131796400
2018-01-31,250.266267697014,250.77079838894227,248.4516374442818,249.53155517578125,249.53155517578125,108364800
2018-02-01,248.7967622010508,250.55825618554806,248.45153012642996,249.24818420410156,249.24818420410156,90102500
